Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0019395~fatty acid oxidation	2	2.197802197802198	0.06689155571836411	ENSG00000159346, ENSG00000006831	85	16	19462	28.620588235294115	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043923~positive regulation by host of viral transcription	2	2.197802197802198	0.07092226174050717	ENSG00000069275, ENSG00000153922	85	17	19462	26.93702422145329	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0034389~lipid particle organization	2	2.197802197802198	0.07493576289841117	ENSG00000113194, ENSG00000197296	85	18	19462	25.440522875816992	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0014009~glial cell proliferation	2	2.197802197802198	0.07493576289841117	ENSG00000116678, ENSG00000139687	85	18	19462	25.440522875816992	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0032869~cellular response to insulin stimulus	3	3.296703296703297	0.07682847960810718	ENSG00000084733, ENSG00000137449, ENSG00000139687	85	106	19462	6.480133185349612	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045055~regulated exocytosis	2	2.197802197802198	0.08291144054577136	ENSG00000170348, ENSG00000084733	85	20	19462	22.896470588235292	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045945~positive regulation of transcription from RNA polymerase III promoter	2	2.197802197802198	0.08291144054577136	ENSG00000128915, ENSG00000165732	85	20	19462	22.896470588235292	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0046628~positive regulation of insulin receptor signaling pathway	2	2.197802197802198	0.090819165492862	ENSG00000069275, ENSG00000159346	85	22	19462	20.814973262032083	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0048208~COPII vesicle coating	2	2.197802197802198	0.09865950978213395	ENSG00000170348, ENSG00000153339	85	24	19462	19.080392156862747	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042593~glucose homeostasis	3	3.296703296703297	0.0989204304662663	ENSG00000159346, ENSG00000116678, ENSG00000006831	85	123	19462	5.584505021520803	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	17	18.681318681318682	1.7713217817854253E-5	ENSG00000127022, ENSG00000047188, ENSG00000104765, ENSG00000074695, ENSG00000138768, ENSG00000137449, ENSG00000170540, ENSG00000138674, ENSG00000139644, ENSG00000170348, ENSG00000113194, ENSG00000144747, ENSG00000082996, ENSG00000131507, ENSG00000214160, ENSG00000198060, ENSG00000124783	85	1175	20660	3.5165957446808513	0.0036423058411412246	0.003648922870477976	0.003560356781388705
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	16	17.582417582417584	4.7521209902305906E-5	ENSG00000127022, ENSG00000197296, ENSG00000074695, ENSG00000138018, ENSG00000170540, ENSG00000138674, ENSG00000139644, ENSG00000122218, ENSG00000170348, ENSG00000084733, ENSG00000082996, ENSG00000100596, ENSG00000214160, ENSG00000103226, ENSG00000198060, ENSG00000124783	85	1135	20660	3.4263798911635135	0.009741839680992959	0.004894684619937508	0.004775881595181743
GOTERM_CC_DIRECT	GO:0016020~membrane	31	34.065934065934066	7.355628009909753E-5	ENSG00000135968, ENSG00000127022, ENSG00000104765, ENSG00000128050, ENSG00000021776, ENSG00000139644, ENSG00000122218, ENSG00000170348, ENSG00000174749, ENSG00000185033, ENSG00000082996, ENSG00000005022, ENSG00000198060, ENSG00000146842, ENSG00000166734, ENSG00000132842, ENSG00000196792, ENSG00000074695, ENSG00000159346, ENSG00000138768, ENSG00000170540, ENSG00000116678, ENSG00000124789, ENSG00000138160, ENSG00000100614, ENSG00000103226, ENSG00000103423, ENSG00000102531, ENSG00000165732, ENSG00000124783, ENSG00000109586	85	3693	20660	2.040298816520922	0.01503891973495064	0.005050864566804697	0.004928270766639535
GOTERM_CC_DIRECT	GO:0005794~Golgi apparatus	15	16.483516483516482	2.0221913993424668E-4	ENSG00000132842, ENSG00000135968, ENSG00000196792, ENSG00000074695, ENSG00000138018, ENSG00000176018, ENSG00000138768, ENSG00000170348, ENSG00000084733, ENSG00000174749, ENSG00000144747, ENSG00000131507, ENSG00000102531, ENSG00000109586, ENSG00000166734	85	1147	20660	3.178624544848454	0.04080544829935029	0.010414285706613704	0.010161511781695895
GOTERM_CC_DIRECT	GO:0000139~Golgi membrane	11	12.087912087912088	4.8717690155277755E-4	ENSG00000122218, ENSG00000170348, ENSG00000084733, ENSG00000144747, ENSG00000082996, ENSG00000074695, ENSG00000176018, ENSG00000131507, ENSG00000138768, ENSG00000102531, ENSG00000109586	85	691	20660	3.8692432110326047	0.09550897410876247	0.020071688343974436	0.01958451144242166
GOTERM_CC_DIRECT	GO:0005829~cytosol	37	40.65934065934066	0.0014476654054739668	ENSG00000135968, ENSG00000135108, ENSG00000145907, ENSG00000128050, ENSG00000132294, ENSG00000153339, ENSG00000138674, ENSG00000139687, ENSG00000122218, ENSG00000084733, ENSG00000147416, ENSG00000144747, ENSG00000082996, ENSG00000179918, ENSG00000128915, ENSG00000153071, ENSG00000123124, ENSG00000121741, ENSG00000145555, ENSG00000158417, ENSG00000064012, ENSG00000138768, ENSG00000066855, ENSG00000170540, ENSG00000119138, ENSG00000143149, ENSG00000165672, ENSG00000124789, ENSG00000138160, ENSG00000100614, ENSG00000184575, ENSG00000100354, ENSG00000103423, ENSG00000102531, ENSG00000165732, ENSG00000103342, ENSG00000140575	85	5629	20660	1.5976508208541902	0.2580215970698331	0.04765521967227089	0.046498539583138106
GOTERM_CC_DIRECT	GO:0012507~ER to Golgi transport vesicle membrane	4	4.395604395604396	0.0016193521247859042	ENSG00000170348, ENSG00000074695, ENSG00000138768, ENSG00000138674	85	57	20660	17.056759545923633	0.2838437622538327	0.04765521967227089	0.046498539583138106
GOTERM_CC_DIRECT	GO:0030665~clathrin-coated vesicle membrane	3	3.296703296703297	0.008422202482007311	ENSG00000132842, ENSG00000147416, ENSG00000153071	85	34	20660	21.446366782006923	0.8248865351710354	0.21687171391168825	0.21160783736043368
GOTERM_CC_DIRECT	GO:0030134~ER to Golgi transport vesicle	3	3.296703296703297	0.012657783512711046	ENSG00000170348, ENSG00000074695, ENSG00000138674	85	42	20660	17.361344537815125	0.9274983967505033	0.28972260040205283	0.28269049845054667
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	32	35.16483516483517	0.04841579882404898	ENSG00000069275, ENSG00000151151, ENSG00000145907, ENSG00000128050, ENSG00000253719, ENSG00000137449, ENSG00000153339, ENSG00000138674, ENSG00000139644, ENSG00000122218, ENSG00000141376, ENSG00000082996, ENSG00000179918, ENSG00000153071, ENSG00000123124, ENSG00000124313, ENSG00000158417, ENSG00000196792, ENSG00000064012, ENSG00000074695, ENSG00000153922, ENSG00000152377, ENSG00000143149, ENSG00000165672, ENSG00000138160, ENSG00000187741, ENSG00000184575, ENSG00000103423, ENSG00000102531, ENSG00000168228, ENSG00000103342, ENSG00000140575	85	5796	20660	1.3419396744204928	0.9999636814973796	0.8457403309265364	0.8252126529914263
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	9	9.89010989010989	0.05397708835807857	ENSG00000165672, ENSG00000174749, ENSG00000131931, ENSG00000147416, ENSG00000082996, ENSG00000153071, ENSG00000103423, ENSG00000138674, ENSG00000102531	85	1015	20660	2.155201390901188	0.9999891422244073	0.8457403309265364	0.8252126529914263
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	24	26.373626373626376	0.055912288164344695	ENSG00000135968, ENSG00000069275, ENSG00000131931, ENSG00000092330, ENSG00000196792, ENSG00000145391, ENSG00000064012, ENSG00000151151, ENSG00000153922, ENSG00000021776, ENSG00000115368, ENSG00000139687, ENSG00000173889, ENSG00000119138, ENSG00000165672, ENSG00000082996, ENSG00000124789, ENSG00000100614, ENSG00000187741, ENSG00000128915, ENSG00000184575, ENSG00000100354, ENSG00000165732, ENSG00000164631	85	4077	20660	1.4308098515344327	0.9999928789660615	0.8457403309265364	0.8252126529914263
GOTERM_CC_DIRECT	GO:0030133~transport vesicle	3	3.296703296703297	0.0637050339104228	ENSG00000122218, ENSG00000170348, ENSG00000138768	85	101	20660	7.219569015725101	0.9999987087396386	0.8457403309265364	0.8252126529914263
GOTERM_CC_DIRECT	GO:0001726~ruffle	3	3.296703296703297	0.0637050339104228	ENSG00000147416, ENSG00000140575, ENSG00000145555	85	101	20660	7.219569015725101	0.9999987087396386	0.8457403309265364	0.8252126529914263
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	30	32.967032967032964	0.06553947390163992	ENSG00000127022, ENSG00000104765, ENSG00000138018, ENSG00000145907, ENSG00000176018, ENSG00000115159, ENSG00000139644, ENSG00000006831, ENSG00000170348, ENSG00000147416, ENSG00000174749, ENSG00000185033, ENSG00000082996, ENSG00000005022, ENSG00000198060, ENSG00000146842, ENSG00000166734, ENSG00000132842, ENSG00000074695, ENSG00000159346, ENSG00000170540, ENSG00000116678, ENSG00000100614, ENSG00000131507, ENSG00000214160, ENSG00000100596, ENSG00000103226, ENSG00000102531, ENSG00000124783, ENSG00000109586	85	5488	20660	1.3286743268736065	0.9999991378995922	0.8457403309265364	0.8252126529914263
GOTERM_CC_DIRECT	GO:0042470~melanosome	3	3.296703296703297	0.06592626775704827	ENSG00000127022, ENSG00000170348, ENSG00000147416	85	103	20660	7.079383209594517	0.9999992083763073	0.8457403309265364	0.8252126529914263
GOTERM_CC_DIRECT	GO:0030667~secretory granule membrane	3	3.296703296703297	0.07044538760858983	ENSG00000170348, ENSG00000084733, ENSG00000140575	85	107	20660	6.814733369983507	0.9999997085047438	0.8457403309265364	0.8252126529914263
GOTERM_CC_DIRECT	GO:0016605~PML body	3	3.296703296703297	0.07389964056639639	ENSG00000131931, ENSG00000121741, ENSG00000139687	85	110	20660	6.628877005347594	0.9999998646186413	0.8457403309265364	0.8252126529914263
GOTERM_CC_DIRECT	GO:0071782~endoplasmic reticulum tubular network	2	2.197802197802198	0.08203677767351021	ENSG00000084733, ENSG00000170540	85	21	20660	23.1484593837535	0.9999999780209939	0.8481530930297823	0.8275668529077002
GOTERM_CC_DIRECT	GO:0035327~transcriptionally active chromatin	2	2.197802197802198	0.08577285551971224	ENSG00000141376, ENSG00000128915	85	22	20660	22.096256684491976	0.9999999905126037	0.8481530930297823	0.8275668529077002
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	7	7.6923076923076925	0.08646220851274479	ENSG00000084733, ENSG00000047188, ENSG00000153071, ENSG00000131507, ENSG00000138768, ENSG00000137449, ENSG00000138674	85	754	20660	2.2565142767982524	0.9999999918780049	0.8481530930297823	0.8275668529077002
GOTERM_MF_DIRECT	GO:0005515~protein binding	68	74.72527472527473	0.00345029592089953	ENSG00000135968, ENSG00000127022, ENSG00000197296, ENSG00000047188, ENSG00000198740, ENSG00000253719, ENSG00000138674, ENSG00000173889, ENSG00000151893, ENSG00000139687, ENSG00000139644, ENSG00000006831, ENSG00000122218, ENSG00000141376, ENSG00000084733, ENSG00000185033, ENSG00000082996, ENSG00000005022, ENSG00000128915, ENSG00000153071, ENSG00000146463, ENSG00000198060, ENSG00000131931, ENSG00000196792, ENSG00000074695, ENSG00000064012, ENSG00000138768, ENSG00000170540, ENSG00000116678, ENSG00000152377, ENSG00000165672, ENSG00000138160, ENSG00000100614, ENSG00000184575, ENSG00000092330, ENSG00000104765, ENSG00000145391, ENSG00000151151, ENSG00000114648, ENSG00000145907, ENSG00000128050, ENSG00000174796, ENSG00000153339, ENSG00000021776, ENSG00000113194, ENSG00000170348, ENSG00000147416, ENSG00000144747, ENSG00000123124, ENSG00000164631, ENSG00000121741, ENSG00000145555, ENSG00000132842, ENSG00000158417, ENSG00000159346, ENSG00000066855, ENSG00000153922, ENSG00000124789, ENSG00000187741, ENSG00000131507, ENSG00000100354, ENSG00000214160, ENSG00000103226, ENSG00000103423, ENSG00000165732, ENSG00000124783, ENSG00000103342, ENSG00000140575	84	12657	18976	1.2136781077288308	0.5276376212502538	0.7087878106876663	0.7087878106876663
GOTERM_MF_DIRECT	GO:0003723~RNA binding	14	15.384615384615385	0.011912186756961709	ENSG00000127022, ENSG00000158417, ENSG00000069275, ENSG00000047188, ENSG00000145907, ENSG00000138768, ENSG00000137449, ENSG00000021776, ENSG00000115368, ENSG00000005022, ENSG00000100354, ENSG00000165732, ENSG00000102531, ENSG00000103342	84	1483	18976	2.1326140705776577	0.9257608817914929	0.7087878106876663	0.7087878106876663
GOTERM_MF_DIRECT	GO:0031625~ubiquitin protein ligase binding	6	6.593406593406594	0.012365565908989873	ENSG00000113194, ENSG00000005022, ENSG00000064012, ENSG00000139687, ENSG00000151893, ENSG00000139644	84	315	18976	4.302947845804988	0.9327982697123515	0.7087878106876663	0.7087878106876663
GOTERM_MF_DIRECT	GO:0055100~adiponectin binding	2	2.197802197802198	0.01306521310023348	ENSG00000159346, ENSG00000006831	84	3	18976	150.6031746031746	0.9423770923279688	0.7087878106876663	0.7087878106876663
GOTERM_MF_DIRECT	GO:0097003~adipokinetic hormone receptor activity	2	2.197802197802198	0.017382695169255977	ENSG00000159346, ENSG00000006831	84	4	18976	112.95238095238095	0.9777455645793005	0.7544089703457094	0.7544089703457094
GOTERM_MF_DIRECT	GO:0034458~3'-5' RNA helicase activity	2	2.197802197802198	0.02596175645433001	ENSG00000047188, ENSG00000021776	84	6	18976	75.3015873015873	0.9966811018600318	0.8150497524674	0.8150497524674
GOTERM_MF_DIRECT	GO:0019901~protein kinase binding	7	7.6923076923076925	0.027019885413156332	ENSG00000165672, ENSG00000138160, ENSG00000196792, ENSG00000159346, ENSG00000103423, ENSG00000151893, ENSG00000140575	84	523	18976	3.0235818992989163	0.9973784371368384	0.8150497524674	0.8150497524674
GOTERM_MF_DIRECT	GO:0016740~transferase activity	4	4.395604395604396	0.0300479171416553	ENSG00000082996, ENSG00000138018, ENSG00000100596, ENSG00000109586	84	154	18976	5.867656153370439	0.9986670595293218	0.8150497524674	0.8150497524674
GOTERM_MF_DIRECT	GO:0003724~RNA helicase activity	3	3.296703296703297	0.04270371112217127	ENSG00000047188, ENSG00000145907, ENSG00000165732	84	75	18976	9.036190476190475	0.9999228983912085	1.0	1.0
GOTERM_MF_DIRECT	GO:0004386~helicase activity	3	3.296703296703297	0.05343276737367185	ENSG00000047188, ENSG00000153922, ENSG00000021776	84	85	18976	7.973109243697478	0.9999933185886944	1.0	1.0
GOTERM_MF_DIRECT	GO:0005095~GTPase inhibitor activity	2	2.197802197802198	0.05540978670531807	ENSG00000137449, ENSG00000140575	84	13	18976	34.75457875457875	0.9999957554971134	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	12	13.186813186813188	0.07199972503144082	ENSG00000147416, ENSG00000047188, ENSG00000138160, ENSG00000179918, ENSG00000151151, ENSG00000145907, ENSG00000128050, ENSG00000153922, ENSG00000103423, ENSG00000165732, ENSG00000021776, ENSG00000145555	84	1541	18976	1.7591545378696578	0.9999999092307466	1.0	1.0
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	13	14.285714285714285	0.0746795640365732	ENSG00000135968, ENSG00000131931, ENSG00000104765, ENSG00000064012, ENSG00000128050, ENSG00000159346, ENSG00000170540, ENSG00000116678, ENSG00000139687, ENSG00000006831, ENSG00000165672, ENSG00000124789, ENSG00000165732	84	1737	18976	1.6907092140252764	0.999999951538442	1.0	1.0
GOTERM_MF_DIRECT	GO:0043024~ribosomal small subunit binding	2	2.197802197802198	0.07994963790038595	ENSG00000145907, ENSG00000137449	84	19	18976	23.779448621553883	0.9999999859680726	1.0	1.0
KEGG_PATHWAY	hsa04152:AMPK signaling pathway	4	4.395604395604396	0.023772977934808634	ENSG00000084733, ENSG00000159346, ENSG00000116678, ENSG00000006831	45	121	8586	6.307438016528925	0.9517603747638644	1.0	1.0
KEGG_PATHWAY	hsa04936:Alcoholic liver disease	4	4.395604395604396	0.03582332018542305	ENSG00000143149, ENSG00000064012, ENSG00000159346, ENSG00000006831	45	142	8586	5.374647887323944	0.9899136387800057	1.0	1.0
KEGG_PATHWAY	hsa04932:Non-alcoholic fatty liver disease	4	4.395604395604396	0.0445968902423555	ENSG00000064012, ENSG00000159346, ENSG00000116678, ENSG00000006831	45	155	8586	4.9238709677419354	0.9968120025283085	1.0	1.0
KEGG_PATHWAY	hsa04920:Adipocytokine signaling pathway	3	3.296703296703297	0.048494146514629806	ENSG00000159346, ENSG00000116678, ENSG00000006831	45	69	8586	8.295652173913043	0.9980952213897697	1.0	1.0
KEGG_PATHWAY	hsa04141:Protein processing in endoplasmic reticulum	4	4.395604395604396	0.05593162611153415	ENSG00000127022, ENSG00000074695, ENSG00000138674, ENSG00000124783	45	170	8586	4.489411764705882	0.9992913454403627	1.0	1.0
KEGG_PATHWAY	hsa05130:Pathogenic Escherichia coli infection	4	4.395604395604396	0.08037528355051624	ENSG00000170348, ENSG00000064012, ENSG00000139644, ENSG00000145555	45	198	8586	3.854545454545455	0.9999740019946938	1.0	1.0
